fold_id,diagnostic,value,pairs,status
WF_2022,return_autocorrelation_lag_1,0.7558877441,5259,DESCRIPTIVE
WF_2022,return_autocorrelation_lag_2,0.5002739347,5008,DESCRIPTIVE
WF_2022,return_autocorrelation_lag_3,0.2541688177,4757,DESCRIPTIVE
WF_2022,observed_design_effect_positive_rho_lags_1_3,4.0206609931,5510,DESCRIPTIVE_NOT_FOR_CI
WF_2022,observed_effective_sample_size,1370.4214330736,5510,DESCRIPTIVE_NOT_FOR_CI
WF_2022,theoretical_n_div_4_reference,1377.5,5510,REFERENCE_NOT_OBSERVED_FACT
WF_2022,average_available_label_concurrency,3.7266787659,5510,DESCRIPTIVE
WF_2022,maximum_available_label_concurrency,4.0,5510,DESCRIPTIVE
WF_2023,return_autocorrelation_lag_1,0.7689852354,5226,DESCRIPTIVE
WF_2023,return_autocorrelation_lag_2,0.5376075623,4976,DESCRIPTIVE
WF_2023,return_autocorrelation_lag_3,0.3162808095,4726,DESCRIPTIVE
WF_2023,observed_design_effect_positive_rho_lags_1_3,4.2457472142,5476,DESCRIPTIVE_NOT_FOR_CI
WF_2023,observed_effective_sample_size,1289.7611948349,5476,DESCRIPTIVE_NOT_FOR_CI
WF_2023,theoretical_n_div_4_reference,1369.0,5476,REFERENCE_NOT_OBSERVED_FACT
WF_2023,average_available_label_concurrency,3.7260774288,5476,DESCRIPTIVE
WF_2023,maximum_available_label_concurrency,4.0,5476,DESCRIPTIVE
WF_2024,return_autocorrelation_lag_1,0.7669229782,5256,DESCRIPTIVE
WF_2024,return_autocorrelation_lag_2,0.5353026909,5004,DESCRIPTIVE
WF_2024,return_autocorrelation_lag_3,0.3206130929,4752,DESCRIPTIVE
WF_2024,observed_design_effect_positive_rho_lags_1_3,4.245677524,5508,DESCRIPTIVE_NOT_FOR_CI
WF_2024,observed_effective_sample_size,1297.3194428563,5508,DESCRIPTIVE_NOT_FOR_CI
WF_2024,theoretical_n_div_4_reference,1377.0,5508,REFERENCE_NOT_OBSERVED_FACT
WF_2024,average_available_label_concurrency,3.7254901961,5508,DESCRIPTIVE
WF_2024,maximum_available_label_concurrency,4.0,5508,DESCRIPTIVE
