fold_id,validation_year,strategy,action_space,position_policy,train_prior_enter_long,round_trip_cost_usd,cost_semantics,classification_scope,rows,accuracy,balanced_accuracy,macro_f1,recall_enter_long,recall_flat,predicted_long_coverage,brier_score,log_loss,tp,tn,fp,fn,executed_trades,ignored_long_signals,gross_pnl_usd,total_cost_usd,net_pnl_usd,mean_net_usd_per_trade,median_net_usd_per_trade,trade_hit_rate,profit_factor,trades_per_session,mean_session_net_usd,annualized_session_sharpe,maximum_drawdown_usd,session_lower_tail_mean_pnl_5pct_usd,maximum_concurrent_positions,random_1000_seed_accuracy_mean,random_1000_seed_accuracy_p025,random_1000_seed_accuracy_p975,random_1000_seed_net_pnl_mean,random_1000_seed_net_pnl_p025,random_1000_seed_net_pnl_p975,random_1000_seed_sharpe_mean,random_1000_seed_sharpe_p025,random_1000_seed_sharpe_p975,random_1000_seed_sharpe_valid_repetitions,random_1000_seed_sharpe_status,random_1000_seed_max_drawdown_mean,random_1000_seed_max_drawdown_p025,random_1000_seed_max_drawdown_p975
WF_2022,2022,ALWAYS_FLAT,LONG_FLAT,NON_OVERLAPPING_60M,0.4786994752,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5510,0.5114337568,0.5,0.338376561,0.0,1.0,0.0,0.4885662432,13.4995841822,0,2818,0,2692,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2022,2022,ALWAYS_LONG,LONG_FLAT,NON_OVERLAPPING_60M,0.4786994752,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5510,0.4885662432,0.5,0.3282126311,1.0,0.0,1.0,0.5114337568,14.1314482476,2692,0,2818,0,1503,4007,-835.0,7469.91,-8304.91,-5.5255555556,-1.22,0.4936793081,0.842170998,5.9880478088,-33.0872908367,-2.2366902405,-8387.77,-513.4738461538,1,,,,,,,,,,,,,,
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,LONG_FLAT,NON_OVERLAPPING_60M,0.4786994752,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5510,0.5114337568,0.5,0.338376561,0.0,1.0,0.0,0.2499666223,0.6930806596,0,2818,0,2692,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2022,2022,STRATIFIED_RANDOM_ACTION,LONG_FLAT,NON_OVERLAPPING_60M,0.4786994752,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5510,0.5036297641,0.5032164276,0.5031949957,0.485141159,0.5212916962,0.4818511797,0.2499666223,0.6930806596,1306,1469,1349,1386,1152,1503,1370.0,5725.44,-4355.44,-3.7807638889,-1.22,0.4991319444,0.8911009049,4.5896414343,-17.3523505976,-1.3463511118,-5457.85,-489.2776923077,1,0.5004633394,0.487477314,0.5145190563,-6462.92422,-9469.362,-3501.69775,-2.0314585907,-2.9679845832,-1.0884768095,1000.0,DEFINED,-6723.98147,-9662.7085,-3862.064
WF_2023,2023,ALWAYS_FLAT,LONG_FLAT,NON_OVERLAPPING_60M,0.4813933898,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5476,0.4974433893,0.5,0.332195122,0.0,1.0,0.0,0.5025566107,13.8861523212,0,2724,0,2752,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2023,2023,ALWAYS_LONG,LONG_FLAT,NON_OVERLAPPING_60M,0.4813933898,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5476,0.5025566107,0.5,0.3344676714,1.0,0.0,1.0,0.4974433893,13.7448797991,2752,0,2724,0,1494,3982,2421.25,7425.18,-5003.93,-3.3493507363,0.03,0.5100401606,0.8440926683,5.976,-20.01572,-2.2182863283,-6262.33,-314.7238461538,1,,,,,,,,,,,,,,
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,LONG_FLAT,NON_OVERLAPPING_60M,0.4813933898,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5476,0.4974433893,0.5,0.332195122,0.0,1.0,0.0,0.2504413457,0.6940304397,0,2724,0,2752,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2023,2023,STRATIFIED_RANDOM_ACTION,LONG_FLAT,NON_OVERLAPPING_60M,0.4813933898,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5476,0.4978086194,0.4979280854,0.4975908784,0.4745639535,0.5212922173,0.4766252739,0.2504413457,0.6940304397,1306,1420,1304,1446,1137,1473,1593.75,5650.89,-4057.14,-3.5682849604,-1.22,0.4995602463,0.8378226048,4.548,-16.22856,-2.0718661685,-5282.45,-276.6838461538,1,0.4997454346,0.4872123813,0.5124223886,-3896.05045,-5892.3075,-2148.47825,-2.0430631872,-3.084561272,-1.1291532491,1000.0,DEFINED,-4969.16731,-6474.27925,-3510.09775
WF_2024,2024,ALWAYS_FLAT,LONG_FLAT,NON_OVERLAPPING_60M,0.4859102779,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5508,0.5059912854,0.5,0.3359855335,0.0,1.0,0.0,0.4940087146,13.6499652245,0,2787,0,2721,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2024,2024,ALWAYS_LONG,LONG_FLAT,NON_OVERLAPPING_60M,0.4859102779,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5508,0.4940087146,0.5,0.3306598615,1.0,0.0,1.0,0.5059912854,13.981067085,2721,0,2787,0,1503,4005,-447.5,7469.91,-7917.41,-5.2677378576,-1.22,0.495675316,0.7892891398,5.9642857143,-31.4182936508,-3.0160196302,-8532.17,-473.8584615385,1,,,,,,,,,,,,,,
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,LONG_FLAT,NON_OVERLAPPING_60M,0.4859102779,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5508,0.5059912854,0.5,0.3359855335,0.0,1.0,0.0,0.2500296892,0.6932066272,0,2787,0,2721,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
WF_2024,2024,STRATIFIED_RANDOM_ACTION,LONG_FLAT,NON_OVERLAPPING_60M,0.4859102779,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,5508,0.5025417574,0.5025051339,0.5025007612,0.4994487321,0.5055615357,0.4969135802,0.2500296892,0.6932066272,1359,1409,1378,1362,1160,1577,-1193.75,5765.2,-6958.95,-5.9990948276,-1.22,0.4948275862,0.7656222372,4.6031746032,-27.6148809524,-2.9875972802,-7433.0,-416.5876923077,1,0.5004448076,0.4865649964,0.5138026507,-5380.10329,-7605.50375,-3276.681,-2.4058461882,-3.3566014971,-1.4908969974,1000.0,DEFINED,-6225.02483,-8251.36175,-4308.41475
OOF_POOLED,2022-2024,ALWAYS_FLAT,LONG_FLAT,NON_OVERLAPPING_60M,,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,16494,0.5049715048,0.5,0.335535592,0.0,1.0,0.0,0.4950284952,13.6781428041,0,8329,0,8165,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
OOF_POOLED,2022-2024,ALWAYS_LONG,LONG_FLAT,NON_OVERLAPPING_60M,,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,16494,0.4950284952,0.5,0.3311164281,1.0,0.0,1.0,0.5049715048,13.9528894827,8165,0,8329,0,4500,11994,1138.75,22365.0,-21226.25,-4.7169444444,-1.22,0.4997777778,0.8264268934,5.9760956175,-28.1889110226,-2.4166267664,-21754.9199999998,-463.1094736842,1,,,,,,,,,,,,,,
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,LONG_FLAT,NON_OVERLAPPING_60M,,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,16494,0.5013338184,0.5011862433,0.5011377425,0.4863441519,0.5160283347,0.4851461137,0.2501452908,0.6934380517,3971,4298,4031,4194,3449,4553,1770.0,17141.53,-15371.53,-4.4568077704,-1.22,0.4978254567,0.8376870478,4.5803452855,-20.4137184595,-2.0001972065,-15759.99,-414.6268421053,1,,,,,,,,,,,,,,
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,LONG_FLAT,NON_OVERLAPPING_60M,,4.97,CURRENT_DEPLOYMENT_COUNTERFACTUAL,OPPORTUNITY_ROWS_BEFORE_POSITION_FILTER,16494,0.5049715048,0.5,0.335535592,0.0,1.0,0.0,0.2501452908,0.6934380517,0,8329,0,8165,0,0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0,,,,,,,,,,,,,,
