gap_minutes,count,gap_duration,pct_of_transitions
1,2543191,0 days 00:01:00,99.68911718059739
2,4611,0 days 00:02:00,0.18074400205086233
3,586,0 days 00:03:00,0.022970285231360944
4,130,0 days 00:04:00,0.005095797064977685
5,64,0 days 00:05:00,0.0025087000935274757
6,35,0 days 00:06:00,0.001371945363647838
7,13,0 days 00:07:00,0.0005095797064977684
8,17,0 days 00:08:00,0.0006663734623432356
9,10,0 days 00:09:00,0.000391984389613668
10,9,0 days 00:10:00,0.00035278595065230123
11,3,0 days 00:11:00,0.0001175953168841004
12,6,0 days 00:12:00,0.0002351906337682008
13,2,0 days 00:13:00,7.839687792273362e-05
14,8,0 days 00:14:00,0.00031358751169093446
15,8,0 days 00:15:00,0.00031358751169093446
16,533,0 days 00:16:00,0.020892767966408505
17,1,0 days 00:17:00,3.919843896136681e-05
18,4,0 days 00:18:00,0.00015679375584546723
19,2,0 days 00:19:00,7.839687792273362e-05
20,1,0 days 00:20:00,3.919843896136681e-05
21,2,0 days 00:21:00,7.839687792273362e-05
22,1,0 days 00:22:00,3.919843896136681e-05
24,1,0 days 00:24:00,3.919843896136681e-05
25,2,0 days 00:25:00,7.839687792273362e-05
26,3,0 days 00:26:00,0.0001175953168841004
27,1,0 days 00:27:00,3.919843896136681e-05
35,1,0 days 00:35:00,3.919843896136681e-05
43,1,0 days 00:43:00,3.919843896136681e-05
50,1,0 days 00:50:00,3.919843896136681e-05
60,3,0 days 01:00:00,0.0001175953168841004
61,1436,0 days 01:01:00,0.056288958348522725
86,1,0 days 01:26:00,3.919843896136681e-05
121,1,0 days 02:01:00,3.919843896136681e-05
286,4,0 days 04:46:00,0.00015679375584546723
301,45,0 days 05:01:00,0.001763929753261506
511,1,0 days 08:31:00,3.919843896136681e-05
646,1,0 days 10:46:00,3.919843896136681e-05
1501,3,1 days 01:01:00,0.0001175953168841004
1726,3,1 days 04:46:00,0.0001175953168841004
2881,7,2 days 00:01:00,0.00027438907272956764
2941,338,2 days 01:01:00,0.01324907236894198
3001,7,2 days 02:01:00,0.00027438907272956764
3166,7,2 days 04:46:00,0.00027438907272956764
3181,4,2 days 05:01:00,0.00015679375584546723
3406,3,2 days 08:46:00,0.0001175953168841004
4381,10,3 days 01:01:00,0.000391984389613668
4606,1,3 days 04:46:00,3.919843896136681e-05
