date,condition,last_modified_date,raw_1m_bars,raw_volume,bars_15m,partial_15m_bars,v1_clock_bars,v1_clock_partial_bars
2020-02-27 00:00:00+00:00,degraded,2026-05-27,1365,1288011,91,0,22,0
2020-02-28 00:00:00+00:00,degraded,2026-05-28,1305,1694518,87,0,22,0
2020-06-30 00:00:00+00:00,degraded,2026-05-22,1247,819974,85,2,22,0
2020-07-01 00:00:00+00:00,degraded,2026-05-22,1365,868477,91,0,22,0
2021-12-05 00:00:00+00:00,degraded,2026-05-18,60,25452,4,0,0,0
2022-01-02 00:00:00+00:00,degraded,2026-04-03,60,10332,4,0,0,0
2024-09-18 00:00:00+00:00,degraded,2026-04-21,1378,967135,92,2,22,0
2025-09-17 00:00:00+00:00,degraded,2026-06-11,1379,1112878,92,1,22,0
2025-09-24 00:00:00+00:00,degraded,2026-06-12,1380,949768,92,0,22,0
2025-11-28 00:00:00+00:00,degraded,2026-06-09,450,214192,30,0,15,0
2026-01-31 00:00:00+00:00,degraded,2026-06-04,0,0,0,0,0,0
2026-03-15 00:00:00+00:00,degraded,2026-06-05,120,79114,8,0,0,0
2026-03-16 00:00:00+00:00,degraded,2026-06-06,1380,907857,92,0,22,0
2026-03-21 00:00:00+00:00,degraded,2026-05-18,0,0,0,0,0,0
2026-04-10 00:00:00+00:00,degraded,2026-05-21,1260,1132700,84,0,22,0
2026-05-24 00:00:00+00:00,degraded,2026-06-05,120,44638,8,0,0,0
2026-07-30 00:00:00+00:00,degraded,2026-07-31,1380,1277118,92,0,22,0
