ny_month,all_bars,all_median_volume,all_median_range_points,v1_bars,v1_partial_bars,v1_median_volume,v1_p10_volume,v1_median_range_points,v1_partial_pct
2019-05,1805,916.0,3.25,432,8,5958.0,2230.5,5.5,1.8518518518518516
2019-06,1843,632.0,2.25,440,0,5181.0,2273.0,3.625,0.0
2019-07,2064,494.0,1.75,491,4,4988.0,2284.0,3.0,0.8146639511201629
2019-08,1979,1610.0,3.75,484,0,10597.5,3318.6,6.25,0.0
2019-09,1919,924.0,2.25,454,0,4984.5,1854.6000000000001,3.75,0.0
2019-10,2093,1192.0,2.5,506,0,6145.5,2617.5,3.875,0.0
2019-11,1859,691.0,1.75,447,8,3560.0,1362.0,2.5,1.7897091722595078
2019-12,1897,751.0,1.5,455,5,3208.0,1147.4,2.25,1.098901098901099
2020-01,1987,1293.0,2.5,476,6,6105.5,1898.0,3.75,1.2605042016806722
2020-02,1805,2483.0,3.5,432,6,8910.5,2984.5,5.0,1.3888888888888888
2020-03,2010,5675.5,15.75,484,7,25809.5,14897.2,24.0,1.4462809917355373
2020-04,1913,4580.0,8.0,462,0,22321.5,13590.1,11.0,0.0
2020-05,1896,4984.0,5.5,454,0,20548.0,10165.300000000001,7.25,0.0
2020-06,1996,5543.5,6.0,484,0,20429.0,9178.4,8.25,0.0
2020-07,2055,5405.0,4.25,498,0,21345.0,9699.6,6.5,0.0
2020-08,1934,3697.5,3.25,462,0,14910.0,7007.3,4.5,0.0
2020-09,1987,4583.0,5.5,476,0,23576.5,9496.5,9.5,0.0
2020-10,1979,3885.0,4.75,484,0,24977.0,11802.0,8.125,0.0
2020-11,1905,4714.0,5.25,447,0,23199.0,10185.2,7.0,0.0
2020-12,1965,2350.0,3.0,477,0,16028.0,7007.2,5.0,0.0
2021-01,1828,3799.5,4.5,432,0,20445.5,8744.800000000001,6.5,0.0
2021-02,1805,3475.0,4.0,432,1,19002.0,8266.0,6.25,0.23148148148148145
2021-03,2093,3938.0,4.75,506,0,27962.0,12568.5,7.875,0.0
2021-04,1949,1853.0,2.75,462,0,18727.0,9040.3,4.25,0.0
2021-05,1919,2873.0,3.5,454,0,20926.0,8952.3,5.875,0.0
2021-06,2005,2001.0,2.75,484,0,12018.0,6052.8,3.625,0.0
2021-07,1985,2745.0,3.0,476,0,15264.5,6658.5,5.0,0.0
2021-08,2047,1924.0,2.25,484,0,12942.0,5475.400000000001,4.0,0.0
2021-09,2008,2483.0,3.75,476,0,19712.5,8171.0,6.75,0.0
2021-10,1932,3192.0,4.25,462,0,18842.5,8537.3,6.25,0.0
2021-11,1993,2410.0,3.25,469,0,19950.0,9264.4,6.0,0.0
2021-12,2001,2866.0,4.5,484,0,20845.5,7801.7,8.125,0.0
2022-01,1939,4633.0,7.0,454,0,35139.0,14024.9,12.25,0.0
2022-02,1824,4919.0,7.75,432,0,32734.0,15818.8,12.875,0.0
2022-03,2116,4252.5,7.5,506,0,29338.0,15595.5,11.75,0.0
2022-04,1817,3401.0,6.0,440,0,30609.5,17349.600000000002,11.0,0.0
2022-05,2031,4068.0,7.75,476,0,43075.0,20984.0,17.0,0.0
2022-06,2008,4060.0,7.0,476,0,32054.0,17297.5,12.75,0.0
2022-07,1916,3426.5,5.5,454,0,32440.5,16049.1,9.625,0.0
2022-08,2116,2968.0,4.75,506,0,30957.0,17539.0,8.875,0.0
2022-09,1985,3978.0,6.5,476,0,39356.0,12748.0,11.75,0.0
2022-10,1955,4929.0,7.25,462,0,39466.0,23787.0,11.75,0.0
2022-11,1993,3437.0,5.0,469,0,32360.0,15993.400000000001,9.75,0.0
2022-12,1909,2762.0,4.5,462,0,27371.0,13422.4,9.0,0.0
2023-01,1939,3287.0,4.25,454,0,31407.0,17380.8,8.75,0.0
2023-02,1824,3124.5,4.25,432,0,29262.5,16508.2,9.0,0.0
2023-03,2093,3892.0,4.75,506,0,28603.5,15339.0,9.25,0.0
2023-04,1832,2392.5,3.25,418,0,24799.0,14433.4,6.25,0.0
2023-05,2100,2381.0,3.25,498,0,24008.0,12854.1,7.0,0.0
2023-06,1985,1980.0,3.0,476,0,21303.0,7419.5,6.5,0.0
2023-07,1924,1689.5,2.75,447,1,17656.0,8809.8,5.25,0.22371364653243847
2023-08,2116,2758.0,4.0,506,0,24415.5,14091.5,7.5,0.0
2023-09,1893,2287.0,3.5,454,0,21032.5,7505.0,6.5,0.0
2023-10,2047,3643.0,4.5,484,0,31190.0,17955.7,9.25,0.0
2023-11,1993,2079.0,2.75,469,1,19508.0,10444.0,5.5,0.21321961620469082
2023-12,1817,1699.0,2.5,440,0,14826.5,5582.3,5.25,0.0
2024-01,2031,2300.0,3.25,476,0,18822.5,9640.5,6.5,0.0
2024-02,1916,2082.5,3.0,454,0,19309.0,10754.2,6.375,0.0
2024-03,1840,2238.5,3.25,440,0,17198.0,7851.000000000001,6.25,0.0
2024-04,2024,3154.5,4.25,484,0,28515.0,13626.6,9.25,0.0
2024-05,2077,1785.0,2.75,498,0,18713.0,10768.8,5.75,0.0
2024-06,1847,1897.0,3.25,432,0,19966.0,5354.3,6.75,0.0
2024-07,2085,2487.0,3.75,491,0,27276.0,12412.0,8.25,0.0
2024-08,2001,3941.0,5.75,484,0,30729.0,14692.1,11.0,0.0
2024-09,1939,2654.0,4.5,454,0,24219.5,8575.300000000001,9.375,0.0
2024-10,2116,2419.5,4.0,506,0,23415.5,11870.5,8.0,0.0
2024-11,1878,2834.5,4.5,447,0,21206.0,10756.4,8.0,0.0
2024-12,1917,1959.0,3.5,455,0,19499.0,8072.000000000002,7.0,0.0
2025-01,1978,3243.5,5.25,454,0,24326.0,11937.5,10.5,0.0
2025-02,1824,3416.0,4.5,432,0,28104.0,12200.2,10.0,0.0
2025-03,1955,4983.0,7.5,462,0,40239.5,18009.3,16.625,0.0
2025-04,1932,8454.5,12.5,462,0,50158.5,29041.5,22.0,0.0
2025-05,1985,3952.0,6.5,476,0,29787.0,16095.0,10.5,0.0
2025-06,1939,3441.0,5.5,454,0,22711.0,8797.2,8.25,0.0
2025-07,2085,2653.0,3.75,491,0,20925.0,10687.0,6.75,0.0
2025-08,1932,3017.5,4.25,462,0,23027.0,10823.0,8.0,0.0
2025-09,2008,2420.5,3.75,476,0,23283.5,7109.0,7.25,0.0
2025-10,2093,3744.0,5.0,506,0,31431.0,12707.0,9.5,0.0
2025-11,1789,5373.0,7.25,425,0,43460.0,15656.2,14.0,0.0
2025-12,1986,2722.5,4.5,477,0,24473.0,9476.6,9.0,0.0
2026-01,1916,3397.5,5.0,454,0,27967.5,11803.400000000001,9.25,0.0
2026-02,1824,4993.5,7.0,432,0,36594.0,15249.1,13.625,0.0
2026-03,2047,9275.0,10.5,484,0,43620.0,20383.100000000002,15.75,0.0
2026-04,1993,5084.0,6.25,462,0,31350.5,16495.0,10.0,0.0
2026-05,1916,4925.0,6.25,454,0,30718.5,13766.2,10.0,0.0
2026-06,2008,5625.5,7.75,476,0,32381.5,10291.0,13.75,0.0
2026-07,2077,4542.0,7.0,498,0,26343.0,12222.0,11.75,0.0
