gap_minutes,prev_time_ny,next_time_ny,primary_attribution,count
61,16:59,18:00,CME_DAILY_CLOSED_PERIOD_EXACT,1436
16,16:14,16:30,CME_1615_1630_HALT_EXACT,531
2941,16:59,18:00,WEEKEND_OR_MULTIDAY_CLOSURE_CANDIDATE,338
301,12:59,18:00,SPECIAL_SESSION_CLOSE_TO_1800_CANDIDATE,45
2,00:51,00:53,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,27
2,23:55,23:57,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,23
2,00:20,00:22,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,22
2,00:42,00:44,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,22
2,00:52,00:54,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,22
2,00:37,00:39,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,21
2,00:10,00:12,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:17,00:19,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:40,00:42,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:44,00:46,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:47,00:49,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:55,00:57,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,23:42,23:44,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,23:48,23:50,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,20
2,00:14,00:16,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,00:21,00:23,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,00:35,00:37,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,00:43,00:45,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,00:48,00:50,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,23:54,23:56,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,19
2,00:23,00:25,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,18
2,00:27,00:29,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,18
2,23:45,23:47,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,18
2,23:47,23:49,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,18
2,00:12,00:14,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:28,00:30,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:45,00:47,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:46,00:48,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:54,00:56,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:57,00:59,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,01:15,01:17,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,23:51,23:53,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,23:52,23:54,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,23:56,23:58,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,23:58,00:00,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,17
2,00:41,00:43,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,00:50,00:52,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,00:53,00:55,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,01:22,01:24,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,19:24,19:26,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,19:42,19:44,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,23:06,23:08,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
2,23:21,23:23,SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,16
