date,condition,last_modified_date
2020-02-27,degraded,2026-05-27
2020-02-28,degraded,2026-05-28
2020-06-30,degraded,2026-05-22
2020-07-01,degraded,2026-05-22
2021-12-05,degraded,2026-05-18
2022-01-02,degraded,2026-04-03
2024-09-18,degraded,2026-04-21
2025-09-17,degraded,2026-06-11
2025-09-24,degraded,2026-06-12
2025-11-28,degraded,2026-06-09
2026-01-31,degraded,2026-06-04
2026-03-15,degraded,2026-06-05
2026-03-16,degraded,2026-06-06
2026-03-21,degraded,2026-05-18
2026-04-10,degraded,2026-05-21
2026-05-24,degraded,2026-06-05
2026-07-30,degraded,2026-07-31
